"ID","starting","globalgrazing","stock","g","b","m0","mortality","mortality_border","rho_plus","q_plus","rho_zero","rho_minus"
481,"high",TRUE,FALSE,0.165,0.78,0.05,NA,NA,0,0,0.0921536926147705,0.90784630738523
482,"high",TRUE,FALSE,0.165,0.8,0.05,NA,NA,0.000352095808383234,0.159273480456115,0.0917760479041916,0.907871856287425
442,"high",TRUE,FALSE,0.099,0.82,0.05,0.2,0.2,0.616087824351297,0.66052329258152,0.311701397205589,0.0722107784431138
493,"low",FALSE,TRUE,0.033,0.2,0.05,NA,NA,0,0,0.0923830339321357,0.907616966067864
494,"low",FALSE,TRUE,0.033,0.22,0.05,NA,NA,0,0,0.0895728542914172,0.910427145708583
484,"high",TRUE,FALSE,0.165,0.84,0.05,0.3,0.3,0.327993013972056,0.478528464697791,0.415621357285429,0.256385628742515
495,"low",FALSE,TRUE,0.033,0.24,0.05,NA,NA,0,0,0.092063872255489,0.907936127744511
483,"high",TRUE,FALSE,0.165,0.82,0.05,0.3,0.3,0.305241317365269,0.466405169210716,0.412272255489022,0.282486427145709
497,"low",FALSE,TRUE,0.033,0.28,0.05,NA,NA,0,0,0.0900934131736527,0.909906586826347
496,"low",FALSE,TRUE,0.033,0.26,0.05,NA,NA,0,0,0.0909926147704591,0.909007385229541
498,"low",FALSE,TRUE,0.033,0.3,0.05,NA,NA,0,0,0.092089620758483,0.907910379241517
502,"low",FALSE,TRUE,0.033,0.38,0.05,NA,NA,0,0,0.0896698602794411,0.910330139720559
499,"low",FALSE,TRUE,0.033,0.32,0.05,NA,NA,0,0,0.0932263473053892,0.906773652694611
500,"low",FALSE,TRUE,0.033,0.34,0.05,NA,NA,0,0,0.0930558882235529,0.906944111776447
501,"low",FALSE,TRUE,0.033,0.36,0.05,NA,NA,0,0,0.0900207584830339,0.909979241516966
503,"low",FALSE,TRUE,0.033,0.4,0.05,NA,NA,0,0,0.0917816367265469,0.908218363273453
505,"low",FALSE,TRUE,0.033,0.44,0.05,NA,NA,0,0,0.0919245508982036,0.908075449101796
485,"high",TRUE,FALSE,0.165,0.86,0.05,0.3,0.3,0.36682255489022,0.500671649713397,0.41516626746507,0.218011177644711
504,"low",FALSE,TRUE,0.033,0.42,0.05,NA,NA,0,0,0.0900127744510978,0.909987225548902
506,"low",FALSE,TRUE,0.033,0.46,0.05,NA,NA,0,0,0.0895748502994012,0.910425149700599
508,"low",FALSE,TRUE,0.033,0.5,0.05,NA,NA,0,0,0.0910584830339321,0.908941516966068
507,"low",FALSE,TRUE,0.033,0.48,0.05,NA,NA,0,0,0.0927061876247505,0.90729381237525
510,"low",FALSE,TRUE,0.033,0.54,0.05,NA,NA,0,0,0.0904491017964072,0.909550898203593
509,"low",FALSE,TRUE,0.033,0.52,0.05,NA,NA,0,0,0.0889884231536926,0.911011576846307
517,"low",FALSE,TRUE,0.033,0.68,0.05,NA,NA,0,0,0.0901425149700599,0.90985748502994
511,"low",FALSE,TRUE,0.033,0.56,0.05,NA,NA,0,0,0.0901199600798403,0.90988003992016
512,"low",FALSE,TRUE,0.033,0.58,0.05,NA,NA,0,0,0.0897818363273453,0.910218163672655
513,"low",FALSE,TRUE,0.033,0.6,0.05,NA,NA,0,0,0.0904960079840319,0.909503992015968
440,"high",TRUE,FALSE,0.099,0.78,0.05,0.2,0.2,0.585956686626746,0.639667523132794,0.331316966067864,0.0827263473053892
486,"high",TRUE,FALSE,0.165,0.88,0.05,0.3,0.3,0.413720758483034,0.522984217325469,0.411067864271457,0.175211377245509
515,"low",FALSE,TRUE,0.033,0.64,0.05,NA,NA,0,0,0.090672255489022,0.909327744510978
514,"low",FALSE,TRUE,0.033,0.62,0.05,NA,NA,0,0,0.0915339321357285,0.908466067864271
516,"low",FALSE,TRUE,0.033,0.66,0.05,NA,NA,0,0,0.0905798403193613,0.909420159680639
441,"high",TRUE,FALSE,0.099,0.8,0.05,0.2,0.2,0.603774850299401,0.651500164986198,0.319923952095808,0.0763011976047904
518,"low",FALSE,TRUE,0.033,0.7,0.05,NA,NA,0,0,0.0918239520958084,0.908176047904192
436,"high",TRUE,FALSE,0.099,0.7,0.05,0.2,0.2,0.518686826347305,0.591784181354538,0.368673053892216,0.112640119760479
521,"low",FALSE,TRUE,0.033,0.76,0.05,NA,NA,0,0,0.0920405189620759,0.907959481037924
487,"high",TRUE,FALSE,0.165,0.9,0.05,0.3,0.3,0.434807984031936,0.535839534918686,0.407542315369261,0.157649700598802
519,"low",FALSE,TRUE,0.033,0.72,0.05,NA,NA,0,0,0.092313373253493,0.907686626746507
520,"low",FALSE,TRUE,0.033,0.74,0.05,NA,NA,0,0,0.0921359281437126,0.907864071856287
522,"low",FALSE,TRUE,0.033,0.78,0.05,NA,NA,0,0,0.0894179640718563,0.910582035928144
